oyun_adi,puan,fiyat,yas_siniri,guncellenme_tarihi,tur_adi,URL
Block Puzzle Brick Smash,,0,3,,Gündelik,https://play.google.com/store/apps/details?id=block.puzzle.brick.smash.game
Lös: Mystery Horror Game,,0,7,,Macera,https://play.google.com/store/apps/details?id=com.DarkBuilds.Scary.House.Adventure.Horror.Games.Los
Arrow Valley: Archery Game,,0,3,,Gündelik,https://play.google.com/store/apps/details?id=com.astrologicmedia.arrowvalley
Retro Road Racer - Car Racing,,0,3,,Yarış,https://play.google.com/store/apps/details?id=com.astrologicmedia.retroracer
Solitaire Snake,,0,3,,"Aksiyon, IO oyun",https://play.google.com/store/apps/details?id=com.cardclash.snake.cg
Tavern Tale,"3,9",0,3,30 Ocak 2026,Rol Yapma,https://play.google.com/store/apps/details?id=com.chillyroom.hanksbar.gp
Digit Logic Match,,0,3,,Bulmaca,https://play.google.com/store/apps/details?id=com.digit.logic.number.match.pair.puzzle
Outpost Stand: Alien Rush,,0,3,,"Strateji, Kule savunması",https://play.google.com/store/apps/details?id=com.dtty.fortress.idle.survivor.defense.gp
Survival Defense: Zombie,,0,7,,Strateji,https://play.google.com/store/apps/details?id=com.furywing.survival.defense
Kedi Şövalyeleri: Boşta RPG,,,3,,Rol yapma,https://play.google.com/store/apps/details?id=com.MonsterPlanet.CatIdleRpg
Servant of the Lake,,,12,,Macera,https://play.google.com/store/apps/details?id=com.RustyLake.ServantOfTheLake
Mad Raccoon: Tower Defense,,,7,,Strateji,https://play.google.com/store/apps/details?id=com.TeamSparta.MadDefense
Toy Survivor : The War,,,3,,Strateji,https://play.google.com/store/apps/details?id=com.actionfit.toy.defense.aos
판타지타운,,,3,,"Simülasyon, Yönetim, Çiftçilik",https://play.google.com/store/apps/details?id=com.arumgames.fantasytown
King of Solitaire: Word Puzzle,,,3,,Bulmaca,https://play.google.com/store/apps/details?id=com.arumgames.solitareword
DIGIMON UP,,,3,,Rol yapma,https://play.google.com/store/apps/details?id=com.bandainamcoent.dgup_ww
Merge City - İnternetsiz Oyun,,,3,,Gündelik,https://play.google.com/store/apps/details?id=com.bigcool.puzzle.merge.city
